Year,FCFF,growth_rate,PV,Discount Factor,Type,EBIT,nopat,Revenue (M),reinvest
2021,,0.0,,,Historical calendar year,,,,
2022,-1191000000.0,0.0,,,Historical calendar year,,,,
2023,-576000000.0,-0.5163727959697733,,,Historical calendar year,,,,
2024,689000000.0,-2.1961805555555554,,,Historical calendar year,,,,
2025,75000000.0,-0.8911465892597968,,,Historical ttm,,,,
2025,473115855.40583354,0.1375,428075989.05612546,0.904801612892315,Projected calendar year,1115887500.0,783989504.2839657,18701.14498502196,310873648.87813216
2026,570111200.9559376,0.125,466730632.8919448,0.8186659586925344,Projected calendar year,1255373437.5,881988192.3194613,19322.288256068907,311876991.3635237
2027,668937628.4497616,0.11249999999999999,495502356.7204683,0.7407302798450385,Projected calendar year,1396602949.21875,981211863.9554007,19944.222690082894,312274235.50563914
2028,767289646.072473,0.1,514248225.9630393,0.6702139519219666,Projected calendar year,1536263244.1406252,1079333050.350941,20565.69739392288,312043404.27846795
2029,862610344.5517242,0.0875,523096112.40111786,0.6064106646819278,Projected calendar year,1670686278.00293,1173774692.2566483,21185.42134316844,311164347.70492405
2030,952188885.3118722,0.075,522448280.64773935,0.5486813474793091,Projected calendar year,1795987748.8531497,1261807794.175897,21802.06735154814,309618908.86402464
2031,1033279698.0080924,0.0625,512969399.9644705,0.4964477681632075,Projected calendar year,1908236983.1564715,1340670781.3118904,22414.27635785933,307391083.3037979
2032,1103237149.8891115,0.049999999999999996,495559500.2959006,0.44918674135086023,Projected calendar year,2003648832.314295,1407704320.377485,23020.66201451433,304467170.48837346
2033,1159657316.4654427,0.0375,471313595.03718376,0.40642488806410143,Projected calendar year,2078785663.5260813,1460493232.391641,23619.815559153336,300835915.9261982
2034,1200516920.5436053,0.025,441470762.2924857,0.36773389423997754,Projected calendar year,2130755305.1142333,1497005563.2014318,24210.310948132166,296488642.6578265
,15340462224.292484,0.025,5641207913.180343,0.36773389423997754,Terminal value,,,,
