Year,FCFF,growth_rate,PV,Discount Factor,Type,EBIT,nopat,Revenue (M),reinvest
2021,,0.0,,,Historical calendar year,,,,
2022,-1191000000.0,0.0,,,Historical calendar year,,,,
2023,-576000000.0,-0.5163727959697733,,,Historical calendar year,,,,
2024,689000000.0,-2.1961805555555554,,,Historical calendar year,,,,
2025,75000000.0,-0.8911465892597968,,,Historical ttm,,,,
2025,472409052.5861111,0.15,427436472.7248438,0.904801612892315,Projected calendar year,1128150000.0,792604773.5618114,18719.71109446884,320195720.9757003
2026,580007192.3750752,0.15,474832144.1943062,0.8186659586925344,Projected calendar year,1297372500.0,911495489.5960832,19379.912811656886,331488297.22100794
2027,705040676.038774,0.15,522244977.26433617,0.7407302798450385,Projected calendar year,1491978375.0,1048219813.0354956,20063.39834477449,343179136.9967216
2028,850170498.837311,0.15,569796129.8332239,0.6702139519219666,Projected calendar year,1715775131.2499998,1205452784.9908197,20770.988861156,355282286.1535087
2029,1018458416.8321263,0.15,617604045.5020736,0.6064106646819278,Projected calendar year,1973141400.9374995,1386270702.7394426,21503.53448884364,367812285.9073163
2030,1213427117.840595,0.15,665784826.084712,0.5486813474793091,Projected calendar year,2269112611.078124,1594211308.1503587,22261.91533796592,380784190.30976367
2031,1439129420.0382147,0.15,714452588.6759828,0.4964477681632075,Projected calendar year,2609479502.7398424,1833343004.3729124,23047.042558137742,394213584.33469766
2032,1700227852.426228,0.15,763719808.5853087,0.44918674135086023,Projected calendar year,3000901428.1508183,2108344455.028849,23859.85943315268,408116602.6026209
2033,2002086174.5177073,0.15,813697649.3730443,0.40642488806410143,Projected calendar year,3451036642.3734407,2424596123.283176,24701.34251428245,422509948.76546854
2034,2350874626.2005825,0.15,864496281.1626917,0.36773389423997754,Projected calendar year,3968692138.7294564,2788285541.775652,25572.50279354541,437410915.5750692
,30039979262.38962,0.025,11046718557.046703,0.36773389423997754,Terminal value,,,,
